dsArticulo,marca_linea,proveedor_ref
AMERICANA,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
ARROZ C-LECHE X 180 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
ARROZ C-LECHE Y DDL X 180 GRS,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
BACON FET PALADINI X 150 GRS,PALADINI FETEADOS,FRIGORIFICO PALADINI SA
BANANA SPLIT,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
BASTONES MOZZ X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BOCADITO CALABAZA GRANGYS X 5 KG,GRANGYS CONGELADOS,GONZALEZ PABLO
BOCADITO DE POLLO GRANGYS X 400 GRS,GRANGYS RETAIL,GONZALEZ PABLO
BOCADITO ESPINACA GRANGYS X 5 KG,GRANGYS CONGELADOS,GONZALEZ PABLO
BOCADITO POLLO C/CHEDDAR X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BOCADITO POLLO X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BOCADITO POLLO X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BOCADITO POLLO X 800 GRS GTA,GRANJA TRES ARROYOS RETAIL,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BONDIOLA DE CERDO CONGELADA SADIA X KG,SADIA FOOD SERVICE,QUICKFOOD SA
BONDIOLA FET X 120 GRS,PALADINI FETEADOS,FRIGORIFICO PALADINI SA
BONDIOLA X KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
BURGER 100% VEGETAL X 226 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
CAÑONCITOS DE MUZZARELLA GRANGYS X 6 KG,GRANGYS CONGELADOS,GONZALEZ PABLO
CEREZA AL MARRASCHINO,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
CHOCOLATE,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
CHOCOLATE BLANCO,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
CHOCOLATE CHICHI,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
COSTILLA DE CERDO X KG PALADINI,PALADINI CORTES DE CERDO,FRIGORIFICO PALADINI SA
CREMA CHANT TONADITA X 250 GRS (X 6 UN),TONADITA,ELCOR S.A
CREMA DE LECHE 39% LA PAULINA X 5 LT,PAULINA LACTEOS,MOLFINO HNOS S.A.
