idArticulo,dsArticulo,marca_linea,proveedor_ref,grupo,familia,linea
100,PALLETS IN/OUT,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN
101,ALMAC. CONGELADOS PAL/DIA,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN
1000,VIANDAS DE REFRIGERIO,SIN PROVEEDOR,SIN PROVEEDOR,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN CATEGORIA
1001,MC CAIN TRADICIONAL X 2.5 KG,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN
1002,QUESO CHEDDAR EN FETAS MILKAUT,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN,SIN AGRUPACIÓN
1025,CREMA DE LECHE 44% LA PAULINA X 5 LT,MOLFINO HNOS S.A.,MOLFINO HNOS S.A.,REFRIGERADOS,LACTEOS,PAULINA LACTEOS
1027,Q. MOZZA P/FETEAR X KG LA PAULINA,MOLFINO HNOS S.A.,MOLFINO HNOS S.A.,REFRIGERADOS,QUESOS,PAULINA LACTEOS
1029,CREMA DE LECHE 39% LA PAULINA X 5 LT,MOLFINO HNOS S.A.,MOLFINO HNOS S.A.,REFRIGERADOS,LACTEOS,PAULINA LACTEOS
1069,MANT. LA PAULINA X 5 KG,MOLFINO HNOS S.A.,MOLFINO HNOS S.A.,REFRIGERADOS,LACTEOS,PAULINA LACTEOS
1079,Q. BARRA DAMBO X KG LA PAULINA,MOLFINO HNOS S.A.,MOLFINO HNOS S.A.,REFRIGERADOS,QUESOS,PAULINA LACTEOS
1109,Q. REGGIANITO HORMA X KG LA PAULINA,MOLFINO HNOS S.A.,MOLFINO HNOS S.A.,REFRIGERADOS,QUESOS,PAULINA LACTEOS
1203,Q. CHEDDAR POUCH X 3.7 KG LA PAULINA,MOLFINO HNOS S.A.,MOLFINO HNOS S.A.,REFRIGERADOS,QUESOS,PAULINA LACTEOS
1215,Q. CREMA POUCH  X 4 KG LA PAULINA,MOLFINO HNOS S.A.,MOLFINO HNOS S.A.,REFRIGERADOS,QUESOS,PAULINA LACTEOS
1500,PATITA DE POLLO GRANGYS X 5KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1501,MEDALLON POLLO J-Q GRANGYS X 5KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1502,MEDALLON POLLO GRANGYS X 5KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1503,MEDALLON MERLUZA GRANGYS X 5KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1504,MEDALLON MERLUZA E-Q GRANGYS X 5KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1506,NUGGETS CROCANTE GRANGYS X 6 KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1507,BOCADITO ESPINACA GRANGYS X 5 KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1508,MEDALLON POLLO E-Q GRANGYS X 5KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1509,BOCADITO CALABAZA GRANGYS X 5 KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1511,CAÑONCITOS DE MUZZARELLA GRANGYS X 6 KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1512,DINOS DE POLLO GRANGYS X 5 KG,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS CONGELADOS
1530,MEDALLON POLLO GRANGYS X 430 GRS,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS RETAIL
1531,MEDALLON POLLO J-Q GRANGYS X 430 GRS,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS RETAIL
1532,NUGGETS CROCANTE GRANGYS X 400 GRS,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS RETAIL
1533,DINOS DE POLLO GRANGYS X 400 GRS,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS RETAIL
1534,BOCADITO DE POLLO GRANGYS X 400 GRS,GONZALEZ PABLO,GONZALEZ PABLO,CONGELADOS,REBOZADOS,GRANGYS RETAIL
1620,FRUTOS ROJOS X 500 GRS BIOMAC,BIOMAC SRL,BIOMAC SRL,CONGELADOS,SALUDABLES,BIOMAC FOOD SERVICE
1621,FRUTILLA X 500 GRS BIOMAC,BIOMAC SRL,BIOMAC SRL,CONGELADOS,SALUDABLES,BIOMAC FOOD SERVICE
1622,MARACUYA CON-SEMILLA X 500 GRS BIOMAC,BIOMAC SRL,BIOMAC SRL,CONGELADOS,SALUDABLES,BIOMAC FOOD SERVICE
1623,FRUTOS DEL BOSQUE X 500 GRS BIOMAC,BIOMAC SRL,BIOMAC SRL,CONGELADOS,SALUDABLES,BIOMAC FOOD SERVICE
1634,Q. PATEGRAS X KG LA PAULINA,MOLFINO HNOS S.A.,MOLFINO HNOS S.A.,REFRIGERADOS,QUESOS,PAULINA LACTEOS
1807,MANT. PRIMER PREMIO X 100 GRS (X 6KG),ALTO ALEGRE DOBLE A SA,ALTO ALEGRE DOBLE A SA,REFRIGERADOS,LACTEOS,DOBLE A LACTEOS
1808,MANT. PRIMER PREMIO X 200 GRS (X 6KG),ALTO ALEGRE DOBLE A SA,ALTO ALEGRE DOBLE A SA,REFRIGERADOS,LACTEOS,DOBLE A LACTEOS
1905,MANT. X 5 KG MILKAUT,MILKAUT SA,MILKAUT SA,REFRIGERADOS,LACTEOS,MILKAUT LACTEOS
2000,Q. PROV HORMA X KG NONNA PIA,PARRILAC S.R.L,PARRILAC S.R.L,REFRIGERADOS,QUESOS,NONNA PIA LACTEOS
2005,Q. PROV FRACC C/CAZ X KG NONNA PIA,PARRILAC S.R.L,PARRILAC S.R.L,REFRIGERADOS,QUESOS,NONNA PIA LACTEOS
2009,Q. CAMPO SABORIZADOS MIX NONNA PIA,PARRILAC S.R.L,PARRILAC S.R.L,REFRIGERADOS,QUESOS,NONNA PIA LACTEOS
2010,Q. SARDO FRESCO X KG NONNA PIA,PARRILAC S.R.L,PARRILAC S.R.L,REFRIGERADOS,QUESOS,NONNA PIA LACTEOS
2012,Q. PARMESANO HORMA X KG NONNA PIA,PARRILAC S.R.L,PARRILAC S.R.L,REFRIGERADOS,QUESOS,NONNA PIA LACTEOS
2961,PIZZA MUZZARELLA 25CM X 449 GRS,GF ALIMENTOS S.R.L.,GF ALIMENTOS S.R.L.,CONGELADOS,PIZZA,GLUFREEZ CONGELADOS
2962,PIZZA FUGAZZETTA 25CM X 449 GRS,GF ALIMENTOS S.R.L.,GF ALIMENTOS S.R.L.,CONGELADOS,PIZZA,GLUFREEZ CONGELADOS
2963,PIZZA JAMÓN Y PROVOLONE 25CM X 449 GRS,GF ALIMENTOS S.R.L.,GF ALIMENTOS S.R.L.,CONGELADOS,PIZZA,GLUFREEZ CONGELADOS
6002,Q. CRIOLLO X KG TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,QUESOS,TREGAR QUESOS
6007,Q. POR SALUT X KG TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,QUESOS,TREGAR QUESOS
6009,Q. CREMOSO X KG TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,QUESOS,TREGAR QUESOS
6012,Q. UNTABLE CHATEL CIBOULETTE X 180 GRS  TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6031,DDL TREGAR X 400 GRS,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,SECOS,LACTEOS,TREGAR SECOS
